model_name,Fraction inside ellipse (center 0 0; a=10; b=30)
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MSE_Phi_MAPE_Topology_MAE,0.771225
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Mom_X_MSE_Mom_Y_MSE_Mom_Z_MSE_Topology_MAE,0.768732
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_MomX_MSE_Nu_MomY_MSE_Nu_MomZ_MSE_Topology_MAE,0.768603
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_Theta_MAPE_Nu_Phi_MAPE_Topology_MAE,0.768353
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_Theta_MSE_Nu_Phi_MSE_Topology_MAE,0.767505
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAPE_Phi_MSE_Topology_MAE,0.766376
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_MomX_MAE_Nu_MomY_MAE_Nu_MomZ_MAE_Lept_Energy_MAE_Lept_MomX_MAE_Lept_MomY_MAE_Lept_MomZ_MAE_Topology_MAE,0.766277
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Mom_X_MACE_Mom_Y_MACE_Mom_Z_MACE_Topology_MAE,0.766233
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MAPE_Phi_MAE_Topology_MAE,0.764718
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MAPE_Phi_MAPE_Topology_MAE,0.763753
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MACE_Phi_MACE_Topology_MAE,0.762444
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MAE_Phi_MAE_Topology_MAE,0.762117
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAPE_Nu_Theta_MAE_Topology_MAE,0.761912
